announcement_date,Humanitarian,Military equipment,Aviation and drones,Portable defence system,Heavy weapon,Financial,Uncategorised
2022-01-31,35000000.0,0.0,0.0,0.0,0.0,0.0,230300001.0
2022-02-28,211113615.0,218991187.61836106,4882500.0,269623187.5242,7190830.680000001,2609940000.0,296632106.617074
2022-03-31,1213587978.7,180020857.06649998,558000.0,1223432686.9725,1402222.9194,1211696000.0,435068439.65366596
2022-04-30,1244033866.0,428450376.528,106872772.61400001,1401922135.3776,1616009857.4572515,2315384000.0,215488819.1646108
2022-05-31,1138382012.28,110621438.96848142,595200.0,61871456.64,357851570.11910003,1799184000.0,223543960.33449998
2022-06-30,621176660.26,409606212.0328909,30818487.312,505603288.5,2264469624.156248,169530000.0,1440750662.878016
2022-07-31,787586074.01,60710870.710200004,103465403.67277819,144801286.0944412,699900840.6923838,2099640000.0,130890441.30839999
2022-08-31,89975344.42385724,18834631.188,51123960.0,623412348.8048999,2210162656.6925015,318295000.0,183864706.10800228
2022-09-30,106949846.39,218617281.9846,0.0,376551792.0,1270672619.240438,517500000.0,545789599.2632035
2022-10-31,269192434.0,119758201.85654896,225258545.70000002,317055600.0,1038743070.3577293,650500000.0,60979629.50055207
2022-11-30,410190078.0,208274846.3233259,231990105.67631078,538392252.0,439103672.39014864,157280000.0,950242475.8565372
2022-12-31,1637369276.4521942,162703006.25197068,0.0,78716966.907,7354159235.149775,854920000.0,571636697.7432945
2023-01-31,163136258.0,86753496.29676823,8559602.770447975,148028871.3606,4647149064.847773,0.0,875231569.3824022
2023-02-28,911565574.2585431,192155941.84056538,0.0,576386100.0,1199505252.8037634,27401500.0,791546619.7098967
2023-03-31,807158500.0,138719076.6193545,0.0,0.0,1312617778.102596,17094000.0,322879871.0955126
2023-04-30,719295761.7652974,156858088.08817735,11160.0,2042480880.0,1104807285.784695,1900000000.0,265462659.60833898
2023-05-31,56201901.91305088,237781960.71437374,23250000.0,363644880.0,2135570032.3072777,333520000.0,976952880.2735999
2023-06-30,137554526.057365,60351066.6,55800000.0,1876224780.0,1214078845.3235393,11500000.0,207465589.55070263
2023-07-31,403074600.0,84396666.06899999,14109960.0,0.0,1651135642.1226141,226600000.0,186948498.0
2023-08-31,10271647.801283458,198159454.5064681,33480.0,64794230.588235304,2504103090.439945,222719999.99999997,445136071.333
2023-09-30,70240000.0,181504872.1564366,0.0,0.0,2238016172.2479596,9500000.0,15787809.31073445
2023-10-31,57355722.0,164363865.29790002,2533320.0,0.0,208435352.0388896,113280452.15685762,300470021.0
2023-11-30,9444200.0,75720906.52000457,12720372.135,0.0,38013125.02293843,4000000.0,102500015.0
2023-12-31,540424005.85,69581950.1691438,14307692.307692308,0.0,829136840.2624594,205600000.0,1487153209.970245
2024-01-31,72388478.29753819,87808701.3071628,37191534.966349885,0.0,915081403.4980891,442100000.0,405027146.1332468
2024-02-29,404417021.17,68736256.17375,9300000.0,0.0,1930150505.356177,1770000.0,860635030.0
2024-03-31,44468017.61,22771042.9030964,2001174.0,345072743.5294118,503418373.8670331,0.0,131000010.0
2024-04-30,116770000.0,32012295.464578394,16740000000.0,674545411.7647059,1592682735.0224855,6060000.0,335260016.0
2024-05-31,41340000.0,14146543.681844726,0.0,0.0,324544121.0518326,51000000.0,100026.0
2024-06-30,960949156.34,16795633.869417574,0.0,0.0,678862409.9700158,127898200.0,220562607.0
2024-07-31,61640000.0,128681483.4521574,0.0,74040741.0,931113393.4964485,796000000.0,163540020.0
2024-08-31,35777172.53710854,15687373.92,0.0,0.0,10967153.1075,0.0,20000016.0
2024-09-30,547215000.0,589436393.8680516,2821992.0,14989411.764705885,2196809048.955351,148032200.0,158000031.0
2024-10-31,424764800.0,4371.0,0.0,446400000.0,789464331.7905811,18880250000.0,234131737.7842109
2024-11-30,162857146.69,27499813.564292748,70292562.0,0.0,981173938.6460676,10000000.0,3792977.8518518503
2024-12-31,176226515.0,66439708.400000006,0.0,2232000.0,619734514.9666667,1234160000.0,126000028.0
