explanation,classified_category
"Australia has committed immediate humanitarian assistance of an initial 35 million AUD to help meeting the urgent needs of the Ukrainian people. This assistance will deliver lifesaving services and supplies, including the provision of shelter, food, medical care and water.",Financial & Economic Aid
"A shipment of 70,000 tons of thermal coal has been provided. Source of Aid 4 lists the value as 32.6 million AUD. We convert the AUD price to USD for a price value per ton of coal estimation. ",Financial & Economic Aid
"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we previously did not consider. Now we report it under. We equally did not consider AUD 8 million to the UN Population fund, which we reported below. Hence, we report the donation value as AUD 12 million. Source of Aid 3 mentions AUD 65 million in humanitarian aid. Since we do not count AUD 18 million in this packet, we arrive at a total of AUD 47 million in humanitarian aid that Australia has provided. ",Financial & Economic Aid
"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we report here.",Financial & Economic Aid
"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. We report here the AUD 8 million to the UN Population fund. ",Financial & Economic Aid
"According to the web archive of the ""Crisis Hub"" page on the Australian government website from July 21, 2024 (Source 1), the Australian government has allocated a total of 800,000 AUD to Ukraine's State Nuclear Regulatory Inspectorate through the IAEA to support the safe and secure operation of nuclear facilities. Source of Aid 2 is a report from the Australian Radiation Protection and Nuclear Safety Agency indicating that in July 2022 Australia delivered ""equipment relating to radiation safety through the International Atomic Energy Agency 's (IAEA) Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency"".",General Announcements
"AUD 27 million in additional humanitarian aid that will be provided over the next 5 years. Source of Aid 2 mentions AUD 213 million total additional help, of which AUD 186 million are military aid. We assume the remaining part of AUD 27 million is humintarian aid. ",Financial & Economic Aid
"Of the AUD 110 million announced, AUD 10 million is for Ukraine's Humanitarian Fund, administered by the United Nations Office for the Coordination of Humanitarian Affairs. The fund helps meet shelter, health services, clean water and sanitation needs. Source of Aid 3 indicates the reported contributions to the UN Financial Tracking Services, used for cross-referencing the Australian commitment.",Financial & Economic Aid
"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This package includes AUD 10 million in funding to the United Nations Office for Coordination of Humanitarian Affairs (OCHA) to increase access to essentials such as water, food and shelter in Ukraine. Source of Aid 3 restates this allocation. Source of Aid 4 reports the recorded financial contributions to UNOCHA by the Financial Tracking Services, used to cross-reference this Austrialian donation in 2024, as separate from the 2023.",Financial & Economic Aid
"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 1 million to the United Nations Partnership on the Rights of Persons with Disabilities to improve services for persons with disabilities in Ukraine, including those needing rehabilitation of combatants. Sources 3 and 4 restate this allocation.",Ground Combat
"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 20 million to the Ukraine Energy Support Fund, to provide heat and electricity for Ukrainians.  Sources 3 and 4 restate this allocation.",Financial & Economic Aid
"When comparing the web archive of the ""Crisis Hub"" page on the Australian government website between July 15, 2024, and July 21, 2024, it is observed that the grant amount provided to the United Nations Partnership on the Rights of Persons with Disabilities (UNPRPD) was originally reported as 1 million on May 31, 2024, but was updated to 2 million. This suggests that an additional 1 million may have been allocated to UNPRPD by the Australian Government.",Financial & Economic Aid
"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 66 million to the European Bank of Reconstruction and Development to assist with Ukraine’s vital recovery and reconstruction efforts.",Financial & Economic Aid
"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 10 million in assistance to the Ukraine Energy Support Fund to provide heat and electricity for Ukrainians.",Financial & Economic Aid
"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 80,000 to help facilitate the work of Ukrainian NGO ""Save Ukraine"".",General Announcements
Australia contributed USD 3 million to NATO'S Trust Fund for Ukraine to support non-lethal military equipment and medical supplies.,Financial & Economic Aid
"Australia has announced around 70 million AUD in lethal military assistance to support the defence of Ukraine, including missiles and weapons. They also provide a range of non-lethal military equipment and medical supplies in response to a specific request from the Ukrainian Government. No further information about the composition of the equipment was disclosed.",Air Defense
Additional 21 million AUD support package of defensive military assistance for the Ukrainian Armed Forces. No further information was disclosed.,Artillery & Heavy Weapons
"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",Financial & Economic Aid
"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",Financial & Economic Aid
"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",Financial & Economic Aid
"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",Financial & Economic Aid
"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",Financial & Economic Aid
"On April 8, the prime minister announced that Australia sends additional 20 Bushmaster Protected Mobility Vehicles to Ukraine. It is mentioned that these vehicles increase the total commitment of military assistance from 116 million AUD (the sum of AUM1 - AUM3) to 165 million AUD. Hence, we can deduce that the 20 Bushmasters have a value of 49 million AUD (165 million - 116 million).",Artillery & Heavy Weapons
"Australia announced (in addition to the 20 Bushmaster protected mobility vehicles reported in AUM4) another aid package that includes anti-armor weapons and ammunition. Since the amount of items sent is not entirely disclosed, we report the monetary value as given by the donor. Source of aid 3 says that Australia provided 306 ""Howitzer and anti-armor weapons"". Since we know that Australia provided 6 howitzers, we assume 300 are anti-armor weapons. This entry records these weapons.",Artillery & Heavy Weapons
