name,code,url,updatedAt,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Germany,DE,DE,2025-03-03 13:18:07,2020-01-02,237.6521,871.0,27.28,23.25,913.9,890.7,246.2389,3847.7,6598.17,-,-,-,E,-0.38,96.51,[]
Germany,DE,DE,2025-03-03 13:18:11,2020-01-03,237.0389,871.0,27.21,25.02,609.9,584.9,246.2389,3847.7,6598.17,-,-,-,E,-0.25,96.26,[]
Germany,DE,DE,2025-03-03 13:18:15,2020-01-04,236.6694,871.0,27.17,42.81,394.4,351.6,246.2389,3847.7,6598.17,-,-,-,E,-0.15,96.11,[]
Germany,DE,DE,2025-03-03 13:18:20,2020-01-05,236.2285,871.0,27.12,29.38,416.9,387.5,246.2389,3847.7,6598.17,-,-,-,E,-0.18,95.93,[]
Germany,DE,DE,2025-03-03 13:18:25,2020-01-06,235.4741,871.0,27.03,11.31,772.7,761.4,246.2271,3847.52,6597.9,-,-,-,E,-0.31,95.63,[]
Germany,DE,DE,2025-03-03 13:18:29,2020-01-07,234.547,871.0,26.93,27.5,962.7,935.2,246.225,3847.52,6597.9,-,-,-,E,-0.38,95.26,[]
Germany,DE,DE,2025-03-03 13:18:34,2020-01-08,233.613,871.0,26.82,17.46,932.1,914.7,246.225,3847.52,6597.9,-,-,-,E,-0.38,94.88,[]
Germany,DE,DE,2025-03-03 13:18:38,2020-01-09,233.1977,871.0,26.77,34.99,439.9,404.9,246.225,3847.52,6597.9,-,-,-,E,-0.17,94.71,[]
Germany,DE,DE,2025-03-03 13:18:43,2020-01-10,232.8446,871.0,26.73,11.6,354.3,342.7,246.225,3847.52,6597.9,-,-,-,E,-0.14,94.57,[]
Germany,DE,DE,2025-03-03 13:18:47,2020-01-11,232.35,871.0,26.68,25.24,519.8,494.6,246.225,3847.52,6597.9,-,-,-,E,-0.2,94.36,[]
Germany,DE,DE,2025-03-03 13:18:52,2020-01-12,231.7417,871.0,26.61,22.72,628.4,605.6,246.225,3847.52,6597.9,-,-,-,E,-0.25,94.12,[]
Germany,DE,DE,2025-03-03 13:18:57,2020-01-13,231.1563,871.0,26.54,17.22,600.9,583.7,246.2525,3847.94,6598.52,-,-,-,E,-0.24,93.87,[]
Germany,DE,DE,2025-03-03 13:19:01,2020-01-14,230.6958,871.0,26.49,15.46,460.1,444.7,246.2525,3847.94,6598.52,-,-,-,E,-0.19,93.68,[]
