name,code,url,updatedAt,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
France,FR,FR,2022-03-08 00:00:00,2022-03-07,25.2507,441.28,5.72,75.07,848.7,773.6,128.4642,1115.02,2347.66,-,-,-,C,-0.6,19.66,[]
France,FR,FR,2022-03-09 00:00:00,2022-03-08,24.6619,441.28,5.59,50.34,636.6,586.3,128.4642,1115.02,2347.66,-,-,-,C,-0.46,19.2,[]
France,FR,FR,2022-03-10 00:00:00,2022-03-09,24.2272,441.28,5.49,89.96,524.6,434.7,128.4642,1115.02,2347.66,-,-,-,C,-0.34,18.86,[]
France,FR,FR,2022-03-11 00:00:00,2022-03-10,24.0636,441.28,5.45,195.5,359.1,163.6,128.4642,1115.02,2347.66,-,-,-,C,-0.13,18.73,[]
France,FR,FR,2022-03-12 00:00:00,2022-03-11,24.1069,441.28,5.46,335.44,292.1,-43.3,128.4642,1115.02,2347.66,-,-,-,C,0.03,18.77,[]
France,FR,FR,2022-03-13 00:00:00,2022-03-12,24.4594,441.28,5.54,498.77,146.3,-352.5,128.4642,1115.02,2347.66,-,-,-,C,0.27,19.04,[]
France,FR,FR,2022-03-14 00:00:00,2022-03-13,24.6147,441.28,5.58,364.32,209.0,-155.3,128.4642,1115.02,2347.66,-,-,-,C,0.12,19.16,[]
France,FR,FR,2022-03-15 00:00:00,2022-03-14,24.2204,441.28,5.49,161.51,555.8,394.3,128.4642,1115.02,2347.66,-,-,-,C,-0.31,18.85,[]
France,FR,FR,2022-03-16 00:00:00,2022-03-15,24.1107,441.28,5.46,213.64,323.3,109.7,128.4642,1115.02,2347.66,-,-,-,C,-0.09,18.77,[]
France,FR,FR,2022-03-17 00:00:00,2022-03-16,24.1672,441.28,5.48,353.26,296.7,-56.5,128.4642,1115.02,2347.66,-,-,-,C,0.04,18.81,[]
France,FR,FR,2022-03-18 00:00:00,2022-03-17,24.3575,441.28,5.52,404.03,213.8,-190.3,128.4642,1115.02,2347.66,-,-,-,C,0.15,18.96,[]
France,FR,FR,2022-03-19 00:00:00,2022-03-18,24.7036,441.28,5.6,512.11,166.0,-346.1,128.4642,1115.02,2347.66,-,-,-,C,0.27,19.23,[]
France,FR,FR,2022-03-20 00:00:00,2022-03-19,25.4158,441.28,5.76,815.17,102.9,-712.2,128.4642,1115.02,2347.66,-,-,-,C,0.55,19.78,[]
France,FR,FR,2022-03-21 00:00:00,2022-03-20,25.9988,441.28,5.89,710.76,127.7,-583.1,128.4642,1115.02,2347.66,-,-,-,C,0.45,20.24,[]
France,FR,FR,2022-03-22 00:00:00,2022-03-21,26.3446,441.28,5.97,564.09,218.4,-345.7,128.4642,1115.02,2347.66,-,-,-,C,0.27,20.51,[]
