name,code,url,updatedAt,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Poland,PL,PL,2020-01-03 00:00:00,2020-01-02,31.1122,211.0,14.75,0.0,255.8,255.8,34.1987,304.71,543.06,-,-,-,C,-0.75,90.97,[]
Poland,PL,PL,2020-01-04 00:00:00,2020-01-03,30.858,211.0,14.62,0.0,254.3,254.3,34.1987,304.71,543.06,-,-,-,C,-0.74,90.23,[]
Poland,PL,PL,2020-01-05 00:00:00,2020-01-04,30.6232,211.0,14.51,0.0,234.8,234.8,34.1987,304.71,543.06,-,-,-,C,-0.69,89.54,[]
Poland,PL,PL,2020-01-06 00:00:00,2020-01-05,30.2561,211.0,14.34,0.0,367.1,367.1,34.1987,304.71,543.06,-,-,-,C,-1.07,88.47,[]
Poland,PL,PL,2020-01-07 00:00:00,2020-01-06,29.8938,211.0,14.17,0.0,362.3,362.3,34.1987,304.71,543.06,-,-,-,C,-1.06,87.41,[]
Poland,PL,PL,2020-01-08 00:00:00,2020-01-07,29.4923,211.0,13.98,0.0,401.5,401.5,34.1987,304.71,543.06,-,-,-,C,-1.17,86.24,[]
Poland,PL,PL,2020-01-09 00:00:00,2020-01-08,29.1882,211.0,13.83,0.0,304.1,304.1,34.1987,304.71,543.06,-,-,-,C,-0.89,85.35,[]
Poland,PL,PL,2020-01-10 00:00:00,2020-01-09,28.8958,211.0,13.69,0.0,292.4,292.4,34.1987,304.71,543.06,-,-,-,C,-0.86,84.49,[]
Poland,PL,PL,2020-01-11 00:00:00,2020-01-10,28.6721,211.0,13.59,7.38,231.1,223.7,34.1987,304.71,543.06,-,-,-,C,-0.65,83.84,[]
Poland,PL,PL,2020-01-12 00:00:00,2020-01-11,28.4836,211.0,13.5,42.57,231.1,188.5,34.1987,304.71,543.06,-,-,-,C,-0.55,83.29,[]
Poland,PL,PL,2020-01-13 00:00:00,2020-01-12,28.3103,211.0,13.42,57.86,231.1,173.2,34.1987,304.71,543.06,-,-,-,C,-0.51,82.78,[]
Poland,PL,PL,2020-01-14 00:00:00,2020-01-13,28.0806,211.0,13.31,1.41,231.1,229.7,34.1987,304.71,543.06,-,-,-,C,-0.67,82.11,[]
Poland,PL,PL,2020-01-15 00:00:00,2020-01-14,27.8491,211.0,13.2,0.0,231.6,231.6,34.1987,304.71,543.06,-,-,-,C,-0.68,81.43,[]
Poland,PL,PL,2020-01-16 00:00:00,2020-01-15,27.6284,211.0,13.09,10.41,231.1,220.7,34.1987,304.71,543.06,-,-,-,C,-0.65,80.79,[]
Poland,PL,PL,2020-01-17 00:00:00,2020-01-16,27.3887,211.0,12.98,0.0,239.7,239.7,34.1987,304.71,543.06,-,-,-,C,-0.7,80.09,[]
Poland,PL,PL,2020-01-18 00:00:00,2020-01-17,27.1075,211.0,12.85,0.0,281.2,281.2,34.1987,304.71,543.06,-,-,-,C,-0.82,79.26,[]
