announcement_date,Humanitarian,Military equipment,Aviation and drones,Portable defence system,Heavy weapon,Financial,Uncategorised
2022-01-30,35000000.0,0.0,0.0,0.0,0.0,0.0,230300001.0
2022-02-06,0.0,0.0,0.0,79393114.2,0.0,139940000.0,2100004.0
2022-02-13,0.0,5303111.100000001,0.0,0.0,0.0,200000000.0,1.0
2022-02-20,2000000.0,58804837.16245486,0.0,3627000.0,0.0,350000000.0,6887538.421201983
2022-02-27,191765000.0,131659287.55597822,0.0,174141244.5,0.0,1920000000.0,97329010.5
2022-03-06,688414615.0,34118901.799927995,4882500.0,44116703.824200004,7190830.680000001,674300000.0,270994172.695872
2022-03-13,200150000.0,3469294.3665000005,0.0,64109939.7165,0.0,260640000.0,8059543.9
2022-03-20,124084000.0,160175425.2,558000.0,581246372.256,113460.0,0.0,50863746.9825
2022-03-27,52250700.0,4346587.5,0.0,543678000.0,0.0,276756000.0,54313519.5
2022-04-03,166037278.70000002,1134600.0,3348000.0,2743500.0,56840926.71657629,0.0,241153009.27116597
2022-04-10,1156518376.0,149160746.62800002,63489246.32400001,980050694.616,405638657.5316421,820000000.0,34097623.11199993
2022-04-17,0.0,232673798.4,1674000.0,367560180.0,468085940.88,0.0,8332000.0
2022-04-24,46690000.0,44362627.5,38361526.29,54311260.7616,651560495.2484332,1448884000.0,137859186.05261087
2022-05-01,60975490.0,2253204.0,0.0,0.0,35172600.0,46500000.0,35200012.0
2022-05-08,735411200.0,58868739.44848142,595200.0,0.0,67938399.7916,160884000.0,79047132.5
2022-05-15,1860000.0,0.0,0.0,0.0,8323875.1620000005,30800000.0,3.0
2022-05-22,2644000.0,30658997.52,0.0,0.0,118064779.7916,1607500000.0,7546315.2084
2022-05-29,370496812.28000003,21093702.0,0.0,61871456.64,130591949.988,0.0,39883067.012
2022-06-05,44400000.0,4882500.0,0.0,114772090.5,388571350.9807657,0.0,163840747.4141
2022-06-12,210349000.0,0.0,0.0,0.0,85997852.55633381,0.0,57267580.0
2022-06-19,0.0,34726200.0,0.0,0.0,547296367.8637755,0.0,6510000.0
2022-06-26,276360660.26,305717857.2344966,30818487.312,390831198.0,372411630.9053672,29530000.0,6.0
2022-07-03,98764000.0,97346318.15839429,0.0,0.0,1104321187.2359061,140000000.0,1310199773.078016
2022-07-10,407400000.0,27239722.4502,0.0,0.0,208713326.2071182,503640000.0,69818309.2084
2022-07-17,16600000.0,404484.9,0.0,0.0,3663237.3105,0.0,61072126.1
2022-07-24,0.0,0.0,103465403.67277819,144801286.0944412,237110919.2201655,0.0,0.0
2022-07-31,362709074.01,0.0,0.0,0.0,49217157.9546,1596000000.0,3.0
2022-08-07,22800000.0,3348000.0,66960.0,0.0,91721556.6768,203100000.0,7.0
2022-08-14,48026000.0,0.0,0.0,249351468.8049,138009547.74572277,0.0,74752006.193856
2022-08-21,0.0,7511861.100000001,44640000.0,374060880.0,154925652.63497847,0.0,47112686.914146274
2022-08-28,8160981.503857235,7974770.088,6417000.0,0.0,1824512882.835,115195000.0,62000005.0
2022-09-04,63688362.92,0.0,0.0,0.0,993016.8,15000000.0,135650009.0
2022-09-11,0.0,9049551.0,0.0,376551792.0,49340352.09633066,0.0,409777531.86320347
2022-09-18,12000000.0,35817941.154599994,0.0,0.0,246162921.38760003,0.0,362053.3999999999
2022-09-25,0.0,0.0,0.0,0.0,116469484.1343074,0.0,0.0
2022-10-02,61249846.39,173749789.83,0.0,0.0,1042427908.1958019,502500000.0,7.999999999068677
