announcement_date,donor,aid_type_general,aid_type_specific,explanation,reporting_currency,source_reported_value,classified_category,date
2022-01-26,Canada,Military,Assistance,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,109666666.6666667,Artillery & Heavy Weapons,2022-01-26
2022-01-26,Canada,Humanitarian,Assistance,"The intention of the donation was to fund development and humanitarian assistance. The 340 million CAD mentioned in ""Source of Aid 1"" are reported in CAM1.",CAD,50000000.0,Financial & Economic Aid,2022-01-26
2022-01-26,Canada,Military,Assistance,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,109666666.6666667,Artillery & Heavy Weapons,2022-01-26
2022-01-26,Canada,Military,Assistance,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,109666666.6666667,Artillery & Heavy Weapons,2022-01-26
2022-02-01,Switzerland,Financial,Grant,Switzerland donates 3 CHF million to Partnership Fund for a Resilient Ukraine (PFRU).,CHF,3000000.0,Financial & Economic Aid,2022-02-01
2022-02-01,United Kingdom,Financial,Grant,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute its value between three years (2022,2023,2024)",GBP,39333333.33333334,Financial & Economic Aid,2022-02-01
2022-02-01,United Kingdom,Financial,Grant,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute it's value between three years (2022,2023,2024)",GBP,39333333.33333334,Financial & Economic Aid,2022-02-01
2022-02-01,United Kingdom,Financial,Grant,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute it's value between three years (2022,2023,2024)",GBP,39333333.33333334,Financial & Economic Aid,2022-02-01
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid comitted later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid comitted later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid comitted later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid committed later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid committed later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-04,Canada,Military,Equipment,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid committed later in February 2022(CAM4).",CAD,3000000.0,Financial & Economic Aid,2022-02-04
2022-02-08,France,Financial,Loan,A 200 million EUR portion of a 1.2 billion EUR funding program for joint French-Ukrainian projects is in the form of direct loans to Ukraine from the French Treasury (on the condition that Ukraine uses French companies for reconstruction projects) ,EUR,200000000.0,Financial & Economic Aid,2022-02-08
2022-02-09,Estonia,Military,Equipment,"Estonia, in cooperation with Germany, built and delivered a field hospital to Ukraine. Germany contributed to the cooperation project by donating 5.3 million euros, for the purchase of a field hospital. Estonian Defence Forces will organise a 13-day training course for Ukrainian military medical instructors. Germany will finance this items that will be then produced in Estonia by an Estonian firm, Semetron.",EUR,0.0,Financial & Economic Aid,2022-02-09
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
2022-02-14,Canada,Military,Weapons,"Undisclosed number of lethal weapons and assorted support items (machine guns, pistols, carbines, 1.5 million rounds of ammunition, sniper rifles, and various related items) for a total value of 7 million USD, which is directed to the Armed Force of Ukraine. Later, in February 2023 Canadian government reworked the page listing total military aid provided and stated 10 CAD million was committed for this entry (Source of aid 3). The increase is probably due to the inclusion of anti-tank missiles, additional pistols, machine guns, and sniper rifles. The new page also specified the amount of small-arms provided as well their types.",CAD,10000000.0,Air Defense,2022-02-14
