activity_id,announcement_date,donor,explanation,reporting_currency,measure,source_reported_value_EUR
CAM3,2022-01-26,Canada,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,Allocation,76766666.66666667
CAM2,2022-01-26,Canada,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,Allocation,76766666.66666667
CAM1,2022-01-26,Canada,"Aid for military assistance and for the extension and expansion of Operation UNIFIER, the Canadian Armed Forces' military training and capacity-building mission in Ukraine. The 50 million CAD mentioned in ""Source of Aid 1"" is reported in CAH1. According to the Canadian budget 2022, the funding of 340 CAD million is dedicated to 3 fiscal years (from 2022 to 2025). (Source of aid 3, p.145). Therefore, we report here only funding for FY 2022- 23, and FY 2023-24 (FY starts in April). The rest is to be reported separately and not to be counted as total aid at this point. Due to rounding, funding to UNIFIER does not equal the sum of the funding for each FY (1 million is omitted). Therefore, we assign 1/3 of a million for each FY.",CAD,Allocation,76766666.66666667
CAH1,2022-01-26,Canada,"The intention of the donation was to fund development and humanitarian assistance. The 340 million CAD mentioned in ""Source of Aid 1"" are reported in CAM1.",CAD,Allocation,35000000.0
UKF1,2022-02-01,United Kingdom,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute its value between three years (2022,2023,2024)",GBP,Allocation,45626666.666666664
UKF2,2022-02-01,United Kingdom,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute it's value between three years (2022,2023,2024)",GBP,Allocation,45626666.666666664
UKF3,2022-02-01,United Kingdom,"On the 1 of February, it was announced that the UK will provide 88 million GBP to support good governance and energy independence in Ukraine. Later, on the 23 of February, this package was increased to 100 GDP million (Source of aid 2). We do not consider them to be different packages since the overview mentioned only 100 GBP pounds (Source of aid 3). Also, later, in July 2023, it was revealed that, in total, this funding is around 118 GBP million. Since it is a multi-year funding for three years and it was not specified when the program is going to start, we assume it starts in 2022. Therefore, we distribute it's value between three years (2022,2023,2024)",GBP,Allocation,45626666.666666664
CHF1,2022-02-01,Switzerland,Switzerland donates 3 CHF million to Partnership Fund for a Resilient Ukraine (PFRU).,CHF,Allocation,3060000.0
UKM1,2022-02-01,United Kingdom,"Anti-tank weaponry. The 88 million GBP are included in UKF1. ""Source of Aid 1"" does not specify the exact amount of anti-tank weaponry committed. However, ""Source of Aid 2"" mentions that on January 17 the defence secretary announced the intention of supplying 2,000 new light anti-tank weapons (NLAWs), along with small arms and ammunitions. We assume that the anti-tank weaponry committed towards the end of January consists of the 2,000 NLAW first mentioned on January 17.",USD,Allocation,79393114.0
CAM4,2022-02-04,Canada,"The Government of Canada announced the donation of personal protective and load carriage equipment, as well as surveillance and detection equipment. Source of aid 2 says that in total, in February, the Canadian government provided around 10 CAD million of both lethal and non-lethal aid to Ukraine. Since, at the time, lethal aid reported in CAM3 was estimated as 7 CAD million, we assume that this package was worth around 3 CAD million. Source of Aid 3 specifies the amount of equipment provided for some items and also reports additional aid committed later in February 2022(CAM4).",CAD,Allocation,2100000.0
FRF1,2022-02-08,France,A 200 million EUR portion of a 1.2 billion EUR funding program for joint French-Ukrainian projects is in the form of direct loans to Ukraine from the French Treasury (on the condition that Ukraine uses French companies for reconstruction projects) ,EUR,Allocation,200000000.0
