Humanitarian,Military equipment,Aviation and drones,Portable defence system,Heavy weapon,Financial,Uncategorised,announcement_date
194588133.14282778,92384490.66135335,2409704.8964825748,196627047.76874804,12837306.97885358,1011261144.8547268,268965877.8066844,2022-01-31
487148012.3906032,164183845.62896252,8345482.689904349,509466678.8414386,97783131.16797662,1558890580.1992009,310168814.8501415,2022-02-28
906623020.5695654,237384002.33424377,27562444.45826844,902368694.7534584,424680044.091989,1781449242.2039587,329925601.1050884,2022-03-31
1114288895.2677546,275536111.0179412,45313445.71749891,913036057.2739655,857606659.523959,1812111377.0089657,340828478.7990212,2022-04-30
1015129495.6278884,261038723.38138363,39429911.95400451,564231225.5431179,1129721306.4075124,1511215729.9921503,522770243.6890929,2022-05-31
791932725.9231565,230845169.1789134,46019741.35801939,368255602.13386023,1371925486.8086822,1161206631.8784368,686633431.8100151,2022-06-30
560374070.4846885,148135860.123747,62625437.5005937,362343295.56108576,1462036796.5919876,1094195028.5910933,488221550.3727283,2022-07-31
307364583.93282604,105125813.86684416,60304057.93972693,422048375.8362005,1540841063.2578785,813417703.1943705,323457619.10535765,2022-08-31
204308822.79780263,137847578.94276658,85147669.61038901,417376998.98970854,1397567603.2799904,567419724.2938863,344366915.1928258,2022-09-30
330088763.9664147,161570667.54844177,149297087.58231068,387187765.3117312,1368569025.4001918,495571378.65936106,431689381.52361095,2022-10-31
644169509.3750836,168905039.59720662,147785346.89493322,344285927.18936783,2541321500.819963,456609186.6567408,613377717.7455783,2022-11-30
859978222.7390726,154763422.10298762,70386963.4111834,247470919.90201843,4298066489.098252,418203869.66105694,719834669.2276384,2022-12-31
752159784.5696958,140473591.02908406,16943104.156736944,257165764.8157222,4028848033.447676,234277427.79263732,749404001.1183153,2023-01-31
727947588.4894638,150487888.10249737,3203828.3665360254,384390683.8973477,2389387469.119448,166028743.2654038,659604663.7423035,2023-02-28
736538161.3967028,158345462.0095543,1967961.3431040517,670160279.0754714,1485815718.366409,495175180.5504682,488161941.5374281,2023-03-31
555168053.4262556,168116660.37183172,8745802.508319415,1036178700.574463,1433727647.1216981,846162248.7550373,479200498.33246636,2023-04-30
299262089.9693932,161239225.3377425,23548406.75445846,1096423716.3339372,1589931778.5518944,610013138.8328801,537334942.329675,2023-05-31
209342987.69009447,122654507.43706764,31311880.261857703,950527878.8300257,1611639904.7972834,254915033.8415765,404373131.1093482,2023-06-30
206897823.59825316,120315247.06863467,20411218.054423723,498490192.2202448,1800840614.6053565,174564483.19954818,288677441.8634485,2023-07-31
129475438.85797232,156959025.5686067,6738265.043866205,128794823.48233311,2027037986.0067213,154256315.478623,258917830.3980728,2023-08-31
69681394.86254084,169396589.49731785,2381037.089921341,23999946.094229057,1649894692.929845,98531362.27698782,209907979.26939306,2023-09-30
74022670.56733225,143070329.2223303,5091638.326878763,3499250.173488718,825447462.8508401,74568135.67254618,255511249.86534536,2023-10-31
157994130.89367187,102567409.96254618,11202129.456547925,287235.945675499,456241340.7558945,104160919.4775489,502087149.0623434,2023-11-30
260909635.76242536,80841059.18553527,18437915.054054033,1529724.096029412,689199180.5280037,196272580.07859746,779645736.9509535,2023-12-31
261255870.48469397,74707764.02318497,95570711.71875836,21626146.868163463,1070235761.6663612,227356245.82423148,745304535.6802336,2024-01-31
225383505.0286961,60078569.74508904,918079761.4787776,119949323.67195919,1245954447.325786,119385175.26966365,572049960.0857437,2024-02-29
156688748.55484214,39360658.99045088,4056807962.937441,300965802.8123394,1127174249.1073601,30003710.054084633,371175033.7418712,2024-03-31
141697300.79809493,27288819.88522543,6681253161.775986,353025867.0790997,985042944.1809183,27253456.027244754,226427755.48009259,2024-04-30
285025646.8668768,26012005.33679865,4051835781.671982,185898895.92340904,765383435.9975104,95770592.1469987,154379830.78563344,2024-05-31
419253278.7222271,46561853.02573423,904074834.4264537,55945932.619983815,673391129.5334392,257026006.46339354,148089565.82801643,2024-06-30
300027247.13639563,91951226.31000048,74361629.77569608,35324695.329416566,685252126.0731659,443072792.6795548,134547987.68114966,2024-07-31
237383364.49157813,181162508.5829789,994634.6167168673,45656614.55859468,846533151.4972777,1255306528.150527,110378644.39410707,2024-08-31
346999395.02116627,247816376.80541015,4922307.461609183,118035009.66905653,1179401618.049619,4678343379.697702,135132292.9039549,2024-09-30
354660560.2990985,155015621.52460706,17775169.14381393,183024147.03418365,1127409925.8067636,7676629665.543908,141828636.64546,2024-10-31
255066888.23485792,62617353.91665582,29953087.252927165,116184364.7702545,904140195.5063201,5183306346.419158,103339061.5705133,2024-11-30
193139693.01660788,51151801.91843362,24339163.407883193,35831765.95701506,767890791.826247,2166051374.489506,92267201.6356234,2024-12-31
