month_year,date,area_sq_km,percent_of_ukraine
2022-02,2022-02-28,65959.37131927573,10.928567860040713
2022-03,2022-03-31,97203.87256852667,16.10535540858697
2022-04,2022-04-30,117377.90948134917,19.447918065006903
2022-05,2022-05-31,107160.0755032599,17.75496238973737
2022-06,2022-06-30,116099.01719361734,19.2360230624832
2022-07,2022-07-31,107422.12379707165,17.798380216563938
2022-08,2022-08-31,109146.3361233543,18.08405867340805
2022-09,2022-09-30,109697.46315357306,18.175372902588528
2022-10,2022-10-31,111082.57446791769,18.40486694854075
2022-11,2022-11-30,120813.38514800523,20.017129508409447
2022-12,2022-12-31,108683.75633241459,18.00741551361355
2023-01,2023-01-31,98853.5975130146,16.378692322593754
2023-02,2023-02-28,105951.44352641946,17.554708562077618
2023-03,2023-03-31,107014.98749555886,17.730923286481463
2023-04,2023-04-30,126267.93302501354,20.92087366829816
2023-05,2023-05-31,119161.65115647623,19.743459722719948
2023-06,2023-06-30,116088.59337291242,19.234295977617833
2023-07,2023-07-31,120627.25617660978,19.986290477443422
2023-08,2023-08-31,124219.93684817618,20.581548645211857
2023-09,2023-09-30,179514.17999278367,29.743050284613314
2023-10,2023-10-31,160539.14437813894,26.599145783802324
2023-11,2023-11-30,127634.17005817016,21.14724050338334
2023-12,2023-12-31,116826.39625465636,19.35653984834005
2024-01,2024-01-31,125915.12947891098,20.862418934456297
2024-02,2024-02-29,140618.7706372356,23.29861165392024
2024-03,2024-03-31,139303.63795352558,23.080712112256744
2024-04,2024-04-30,134587.29936763752,22.299279159578745
2024-05,2024-05-31,112868.06232003515,18.700697923955786
2024-06,2024-06-30,116677.03847744149,19.33179330253359
2024-07,2024-07-31,120219.5404599072,19.918737546169694
2024-08,2024-08-31,124684.21870847045,20.658473814674917
2024-09,2024-09-30,135279.5634612487,22.41397787445095
2024-10,2024-10-31,109419.14706389024,18.129259723948348
2024-11,2024-11-30,119339.92107943783,19.772996616591474
2024-12,2024-12-31,132580.94968990126,21.966854393157362
2025-01,2025-01-31,110471.49450758538,18.303619336854506
2025-02,2025-02-28,117220.93484217227,19.421909509099873
