Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2000' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 17 Feb 2025 7:10:21 PM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
65442,Australia,Ukraine,UFH 155mm,towed gun,Artillery,2022,No,6,No,2022,No,Second hand,1,0.4,2.4,No
65361,Australia,Ukraine,Bushmaster,APC,Armoured vehicles,2022,No,70,Yes,2022,No,Second hand,0.35,0.14,9.8,No
65361,Australia,Ukraine,Bushmaster,APC,Armoured vehicles,2022,No,50,Yes,2023,No,Second hand,0.35,0.14,7,No
65535,Australia,Ukraine,Waran,APC,Armoured vehicles,2022,No,28,No,2022,No,Second hand,0.35,0.14,3.92,No
66850,Belgium,Ukraine,M-113,APC,Armoured vehicles,2022,No,46,No,2022,No,Second hand,0.25,0.1,4.6,No
66850,Belgium,Ukraine,M-113,APC,Armoured vehicles,2022,No,90,Yes,2023,Yes,Second hand,0.25,0.1,9,No
66807,Belgium,Ukraine,M-113,APC,Armoured vehicles,2023,No,40,Yes,2023,No,Second hand,0.25,0.1,4,No
66363,Belgium,Ukraine,Mistral SAM,portable SAM,Missiles,2023,No,25,Yes,2023,No,Second hand,0.09,0.04,0.9,No
66290,Belgium,Ukraine,AIM-120B AMRAAM,BVRAAM,Missiles,2022,Yes,15,No,2023,No,Second hand,0.4,0.16,2.4,No
66362,Belgium,Ukraine,MILAN,anti-tank missile,Missiles,2022,Yes,50,Yes,2022,Yes,Second hand,0.01,0,0.2,No
66361,Belgium,Ukraine,LMV,APV,Armoured vehicles,2023,No,80,No,2023,No,Second hand,0.15,0.06,4.8,No
66360,Belgium,Ukraine,MO-120-RT 120mm,mortar,Artillery,2022,No,4,No,2022,No,Second hand,0.3,0.12,0.48,No
37542,Belgium,Ukraine,M-109A1 155mm,self-propelled gun,Artillery,2022,No,28,Yes,2022,No,Second hand,1.1,0.44,12.32,No
66822,Canada,Ukraine,AIM-7M,BVRAAM,Missiles,2023,No,288,Yes,2023,Yes,Second hand,0.18,0.07,20.74,No
65425,Canada,Ukraine,Excalibur,guided shell,Missiles,2022,No,50,Yes,2022,No,Second hand,0.04,0.02,0.8,No
67051,Canada,Ukraine,Gurkha,APV,Armoured vehicles,2022,No,11,Yes,2023,No,New,0.16,0.16,1.76,No
66034,Canada,Ukraine,Senator,APC/APV,Armoured vehicles,2022,No,100,Yes,2022,No,New,0.14,0.14,14,No
66034,Canada,Ukraine,Senator,APC/APV,Armoured vehicles,2022,No,700,Yes,2023,No,New,0.14,0.14,98,No
66823,Canada,Ukraine,Senator,APC/APV,Armoured vehicles,2022,No,8,No,2022,No,New,0.14,0.14,1.12,No
66823,Canada,Ukraine,Senator,APC/APV,Armoured vehicles,2022,No,200,No,2023,No,New,0.14,0.14,28,No
66286,Canada,Ukraine,Leopard-2A4,tank,Armoured vehicles,2022,Yes,8,No,2023,No,Second hand,4,1.6,12.8,No
66570,Canada,Ukraine,AIM-9M,SRAAM,Missiles,2023,No,43,No,2023,No,Second hand,0.12,0.05,2.06,No
66371,Canada,Ukraine,AIM-120C AMRAAM,BVRAAM,Missiles,2023,No,12,No,2023,No,Second hand,0.6,0.24,2.88,No
65412,Canada,Ukraine,UFH 155mm,towed gun,Artillery,2022,No,4,No,2022,No,Second hand,1,0.4,1.6,No
66342,Canada,Ukraine,Buffel ARV,ARV,Armoured vehicles,2023,No,1,No,2023,No,Second hand,2.25,0.9,0.9,No
59289,Canada,Ukraine,Spartan CAN,APC/APV,Armoured vehicles,2014,No,8,No,2014,No,New,0.16,0.16,1.28,No
59289,Canada,Ukraine,Spartan CAN,APC/APV,Armoured vehicles,2014,No,31,No,2015,No,New,0.16,0.16,4.96,No
66149,Canada,Ukraine,Titan,APC,Armoured vehicles,2022,No,10,Yes,2022,No,New,0.13,0.13,1.3,No
