announcement_date,movement_km,Humanitarian,Military equipment,Aviation and drones,Portable defence system,Heavy weapon,Financial,Uncategorised
2022-01-30,8029.65365377943,35000000.0,0.0,0.0,0.0,0.0,0.0,230300000.0
2022-02-06,7591.165052089559,0.0,0.0,0.0,79393114.2,0.0,139940000.0,2100000.0
2022-02-13,8047.844924423183,0.0,5303111.100000001,0.0,0.0,0.0,200000000.0,0.0
2022-02-20,36502.04794031486,2000000.0,58804837.16245486,0.0,3627000.0,0.0,350000000.0,6887536.421201983
2022-02-27,112083.49814836006,191765000.0,131659287.55597822,0.0,174141244.5,0.0,1920000000.0,97328991.5
2022-03-06,169477.75085468282,688414615.0,34118901.799927995,4882500.0,44116703.8242,7190830.680000001,674300000.0,270994140.695872
2022-03-13,148803.6719357702,200150000.0,3469294.3665000005,0.0,64109939.7165,0.0,260640000.0,8059524.9
2022-03-20,147390.87486137237,124084000.0,160175425.2,558000.0,581246372.256,113460.0,0.0,50863738.9825
2022-03-27,137147.3897545519,52250700.0,4346587.5,0.0,543678000.0,0.0,276756000.0,54313512.5
2022-04-03,114728.43628208825,166037278.70000002,1134600.0,3348000.0,2743500.0,56840926.71657629,0.0,241153007.27116597
2022-04-10,84191.27588814999,1156518376.0,149160746.62800002,63489246.32400001,980050694.616,405638657.5316421,820000000.0,34097608.11199993
2022-04-17,84130.59111539568,0.0,232673798.4,1674000.0,367560180.0,468085940.88,0.0,8332000.0
2022-04-24,82141.23398216424,46690000.0,44362627.5,38361526.29,54311260.7616,651560495.2484332,1448884000.0,137859176.05261087
2022-05-01,113088.0415073083,60975490.0,2253204.0,0.0,0.0,35172600.0,46500000.0,35200000.0
2022-05-08,110609.36657835857,735411200.0,58868739.44848142,595200.0,0.0,67938399.7916,160884000.0,79047112.5
2022-05-15,98761.58846718009,1860000.0,0.0,0.0,0.0,8323875.162,30800000.0,0.0
2022-05-22,133194.10910885307,2644000.0,30658997.52,0.0,0.0,118064779.7916,1607500000.0,7546300.2084
2022-05-29,130856.19066475946,370496812.28,21093702.0,0.0,61871456.64,130591949.988,0.0,39883064.012
2022-06-05,150857.2366979789,44400000.0,4882500.0,0.0,114772090.5,388571350.9807657,0.0,163840737.4141
2022-06-12,141446.8717429302,210349000.0,0.0,0.0,0.0,85997852.55633381,0.0,57267576.0
